title,method,complexity,scenario,advantages,limitations,data_driven,category,category_zh,category_bilingual,source_category
ImproBR: Bug Report Improver Using LLMs,"A hybrid detector combining fine-tuned DistilBERT, heuristic analysis, and an LLM analyzer, guided by GPT-4o mini with section-specific few-shot prompts and a Retrieval-Augmented Generation (RAG) pipeline grounded in...",medium,Mojira dataset with 139 challenging real-world bug reports,"An LLM-based pipeline that automatically detects and improves bug reports by addressing missing, incomplete, and ambiguous sections",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
Budget-Constrained Online Retrieval-Augmented Generation: The Chunk-as-a-Service Model,Two variants of CaaS (Open-Budget and Limited-Budget) enabled by the Utility-Cost Online Selection Algorithm (UCOSA) which enriches prompts based on budget constraints and utility-cost tradeoff,medium,unknown,Chunk-as-a-Service (CaaS) as a transparent and cost-effective alternative to RaaS,unknown,unknown,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
CORAL: Adaptive Retrieval Loop for Culturally-Aligned Multilingual RAG,"CORAL (COntext-aware Retrieval with Agentic Loop) - an adaptive retrieval methodology that includes: (1) selecting corpora, (2) retrieving documents, (3) critiquing evidence for relevance and cultural alignment, (4) c...",medium,two cultural QA benchmarks,An adaptive retrieval methodology for mRAG that enables iterative refinement of both retrieval space and retrieval probe based on evidence quality,not specified,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Navigating Global AI Regulation: A Multi-Jurisdictional Retrieval-Augmented Generation System,A RAG system with three technical contributions: type-specific chunking that preserve legal structure across heterogenous documents; conditional retrieval routing with entity detection and metadata for legal citations...,medium,"242 documents across 68 jurisdictions, including formal legislation like the EU AI Act and unstructured policy documents such as national AI strategies.",A multi-jurisdictional Retrieval-Augmented Generation system for global AI regulation.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
GeoSearch: Augmenting Worldwide Geolocalization with Web-Scale Reverse Image Search and Image Matching,"Integrates web-scale reverse image search into RAG pipeline, augmenting LMM prompts with database-retrieved coordinates and textual evidence from web pages. Uses a two-layer filtering mechanism with image matching and...",medium,Im2GPS3k and YFCC4k benchmarks,"GeoSearch, an open-world geolocation framework that integrates web-scale reverse image search into the RAG pipeline.",not specified,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Core Retrieval and Ranking Methods
Faithfulness-QA: A Counterfactual Entity Substitution Dataset for Training Context-Faithful RAG Models,"Construction through counterfactual entity substitution, where answer-bearing named entities in contexts from SQuAD and TriviaQA are replaced with type-consistent alternatives from a curated bank of 76,953 entities, f...",high,"SQuAD and TriviaQA benchmarks, with a typed entity bank covering eight named entity categories.","Introduce Faithfulness-QA, a large-scale dataset of 99,094 samples constructed through counterfactual entity substitution to create controlled knowledge conflicts between context and parametric memory.",unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Evaluation, Benchmarks, and Diagnostics"
CroSearch-R1: Better Leveraging Cross-lingual Knowledge for Retrieval-Augmented Generation,"CroSearch-R1, which uses a multi-turn retrieval strategy with cross-lingual knowledge integration and a multilingual rollout mechanism to optimize reasoning transferability across languages.",medium,unknown,A search-augmented reinforcement learning framework to integrate multilingual knowledge into the GRPO process.,unknown,unknown,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
CacheFlow: Efficient LLM Serving with 3D-Parallel KV Cache Restoration,"CacheFlow, a KV cache restoration framework that introduces a unified 3D parallelism abstraction across tokens, layers, and GPUs, with a batch-aware two-pointer scheduler that jointly optimizes compute and I/O allocat...",medium,"diverse models, workloads, and hardware","Rethinking cache restoration as a multi-dimensional parallel execution problem across tokens, layers, and GPUs to exploit parallelism and avoid resource contention.",unknown,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
XGRAG: A Graph-Native Framework for Explaining KG-based Retrieval-Augmented Generation,"XGRAG uses graph-based perturbation strategies to generate explanations for GraphRAG systems, comparing it against RAG-Ex as a baseline and evaluating its robustness across various question types, narrative structures...",medium,"NarrativeQA, FairyTaleQA, and TriviaQA",XGRAG generates causally grounded explanations for GraphRAG systems by employing graph-based perturbation strategies to quantify the contribution of individual graph components on the model answer.,unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Knowledge Graph and Structured Knowledge RAG
MEG-RAG: Quantifying Multi-modal Evidence Grounding for Evidence Selection in RAG,"MEG-RAG, a framework that trains a multimodal reranker to align retrieved evidence with the semantic anchors of the ground truth, prioritizing high-value content based on semantic grounding rather than token probabili...",medium,M$^2$RAG benchmark,"Multi-modal Evidence Grounding (MEG), a semantic-aware metric that quantifies the contribution of retrieved evidence by utilizing Semantic Certainty Anchoring, focusing on high-IDF information-bearing tokens that bett...",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
Agentic clinical reasoning over longitudinal myeloma records: a retrospective evaluation against expert consensus,"An agentic reasoning system compared against single-pass retrieval-augmented generation (RAG), iterative RAG, and full-context input",medium,"Longitudinal clinical records of 811 myeloma patients (2001-2026) with 44,962 documents and 1,334,677 laboratory values, with external validation on MIMIC-IV","An agentic reasoning system can outperform single-pass RAG, iterative RAG, and full-context input in clinical reasoning about multiple myeloma","System error rate (12.2%) was comparable to expert disagreement (13.6%), but system errors had higher clinical significance (57.8% vs 18.8%). Prospective evaluation in routine care is required",yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)",Domain-Specific RAG Applications
Reducing Redundancy in Retrieval-Augmented Generation through Chunk Filtering,"Chunk filtering strategies such as semantic, topic-based, and named-entity-based methods.",medium,multiple corpora,Exploring chunk filtering strategies to reduce the indexed corpus while preserving retrieval quality.,unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
MEMCoder: Multi-dimensional Evolving Memory for Private-Library-Oriented Code Generation,"MEMCoder employs a Multi-dimensional Evolving Memory that captures distilled lessons from problem-solving trajectories, uses a dual-source retrieval mechanism to inject static documentation and historical guidelines d...",medium,NdonnxEval and NumbaEval benchmarks,MEMCoder enables LLMs to autonomously accumulate and evolve Usage Guidelines across task-level coordination patterns and API-level parameter constraints through a Multi-dimensional Evolving Memory.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
Domain Fine-Tuning vs. Retrieval-Augmented Generation for Medical Multiple-Choice Question Answering: A Controlled Comparison at the 4B-Parameter Scale,Comparing four cells of a 2x2 design by varying (i) whether the model has been domain-adapted (Gemma 3 4B vs. MedGemma 4B) and (ii) whether retrieved passages from a medical knowledge corpus are inserted into the prompt.,high,"MedQA-USMLE 4-option test split (1,273 questions) and MedMCQA explanations","Isolating the trade-off between domain fine-tuning and RAG by holding model size, prompt template, decoding temperature, retrieval pipeline, and evaluation protocol fixed.",Not specified in the abstract,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
S2G-RAG: Structured Sufficiency and Gap Judging for Iterative Retrieval-Augmented QA,Iterative framework with S2G-Judge controller and sentence-level Evidence Context to reduce noise accumulation.,medium,"TriviaQA, HotpotQA, and 2WikiMultiHopQA","S2G-RAG framework with an explicit controller, S2G-Judge, that predicts if current evidence is sufficient and outputs structured gap items for missing information.",unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Core Retrieval and Ranking Methods
The Override Gap: A Magnitude Account of Knowledge Conflict Failure in Hypernetwork-Based Instant LLM Adaptation,Selective Layer Boosting and Conflict-Aware Internalization - training-free methods that scale the adapter at top-norm layers and trigger boosting only when the base model is confident.,high,"KID-Bench, a 489-question benchmark that separates novel recall, cross-knowledge combination, and prior-graded conflicts.","The failure is a magnitude problem rather than a representational one, where the adapter margin remains constant while pretrained margin grows with training frequency.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Prism-Reranker: Beyond Relevance Scoring -- Jointly Producing Contributions and Evidence for Agentic Retrieval,"A hybrid training approach combining point-wise distillation from a commercial reranker API with supervised fine-tuning on contribution and evidence targets, using LLM-as-Judge ensemble to relabel data with consistent...",high,"BEIR QA subset, open-domain queries from commercial search APIs, LLM-synthesized variants, and keyword-style reformulations to adapt to agent-issued traffic.","Prism-Reranker, a family of reranker models that goes beyond scalar scoring by emitting both a contribution statement summarizing how the document helps the query and an evidence passage that preserves query-relevant...",not specified,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
RaV-IDP: A Reconstruction-as-Validation Framework for Faithful Intelligent Document Processing,"A pipeline that extracts entities, reconstructs them back into a comparable form, scores fidelity against the original document, and triggers a GPT-4.1 vision fallback when fidelity is below threshold.",medium,unknown,"Reconstruction as Validation (RaV-IDP), a document processing pipeline that uses reconstruction as a first-class architectural component to verify extraction fidelity against the original document.",unknown,unknown,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Identity-Decoupled Anonymization for Visual Evidence in Multi-modal Retrieval-Augmented Generation,Identity-Decoupled MRAG consisting of: (i) a disentangled variational encoder that factorizes faces into identity and attribute codes; (ii) a manifold-aware rejection sampler that replaces identity codes; and (iii) a...,medium,unknown,A framework that interposes a generative anonymization module between retrieval and generation to preserve visual attributes while removing identity information.,unknown,unknown,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
CyberCane: Neuro-Symbolic RAG for Privacy-Preserving Phishing Detection with Formal Ontology Reasoning,"CyberCane, a dual-phase pipeline that applies lightweight symbolic rules to email metadata, then escalates borderline cases to semantic classification via RAG with automated sensitive data redaction and retrieval from...",medium,DataPhish2025 (12.3k emails; mixed human/LLM) and Nazario/SpamAssassin,A neuro-symbolic framework integrating deterministic symbolic analysis with privacy-preserving retrieval-augmented generation (RAG).,unknown,yes,Knowledge Graph and Structured Knowledge RAG,知识图谱与结构化知识 RAG,知识图谱与结构化知识 RAG (Knowledge Graph and Structured Knowledge RAG),Domain-Specific RAG Applications
ragR: Retrieval-Augmented Generation and RAG Assessment in R,"provides LLM-based scoring for four core RAGAS metrics: context precision, context recall, faithfulness, and answer relevance",medium,unknown,"ragR, an R package that unifies document ingestion, embedding and vector storage, similarity-based retrieval, grounded generation, structured question-answer logging, and RAGAS-style evaluation within a single R-nativ...",unknown,unknown,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
Lightweight and Production-Ready PDF Visual Element Parsing,"A framework that uses spatial heuristics, layout analysis, and semantic similarity to accurately detect visual elements and associate captions.",medium,Popular benchmark datasets and internal product data,"A lightweight and production level PDF parsing framework that accurately detects visual elements and associates captions using a combination of spatial heuristics, layout analysis, and semantic similarity.",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),"Efficiency, Deployment, and On-Device RAG"
PrivacyAssist: A User-Centric Agent Framework for Detecting Privacy Inconsistencies in Android Apps,A multi-agent LLM-based platform using Retrieval-Augmented Generation (RAG) to provide concise explanations and real-time on-device warnings.,high,"200 users and 2,347 Android apps","PrivacyAssist, a multi-agent LLM-based platform that detects inconsistencies between user-granted permissions and developers' declared sensitive data collection and sharing practices.",unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
AsmRAG: LLM-Driven Malware Detection by Retrieving Functionally Similar Assembly Code,"AsmRAG framework that uses a code-specialized LLM to analyze assembly functions and convert them into semantic embeddings, constructing a searchable knowledge base. It employs a Density-Weighted Anchor Selection mecha...",medium,curated dataset of 40k binaries,Reformulating malware detection as an evidence-based retrieval task using Assembly-Level Retrieval-Augmented Generation.,unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
AnalogRetriever: Learning Cross-Modal Representations for Analog Circuit Retrieval,"Building a dataset through a two-stage repair pipeline, encoding schematics and descriptions with a vision-language model, encoding netlists with a port-aware relational graph convolutional network, and mapping all mo...",medium,Masala-CHAI dataset repaired through a two-stage pipeline,"Presenting AnalogRetriever, a unified tri-modal retrieval framework for analog circuit search that builds a high-quality dataset and encodes multiple modalities into a shared embedding space.",unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Domain-Specific RAG Applications
PhySE: A Psychological Framework for Real-Time AR-LLM Social Engineering Attacks,The framework uses Visual Language Model pre-training with social-context data for on-the-fly profile generation and a psychological LLM that dynamically applies different psychological strategies based on target resp...,high,"IRB-approved user study with 60 participants, collecting a novel dataset of 360 annotated conversations across diverse social scenarios",PhySE is a novel framework that addresses limitations in AR-LLM-SE attacks through VLM-based SocialContext Training for rapid profile generation and an Adaptive Psychological Agent that dynamically deploys psychologic...,not specified,partly,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
From Language to Logic: Bridging LLMs & Formal Representations for RTL Assertion Generation,Two-phase framework: Phase A gathers design context through EDA and formal tools including semantic search over an AST-indexed vector database and JasperGold structural queries; Phase B generates SVA and iteratively r...,medium,FVEval Design2SVA design benchmarks,"ProofLoop, a tool-augmented ReAct agent that generates SVA from natural-language specifications using a solver-in-the-loop approach.",unknown,yes,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Domain-Specific RAG Applications
Towards Automated Ontology Generation from Unstructured Text: A Multi-Agent LLM Approach,"A controlled experimental study comparing a single-agent LLM baseline with a multi-agent approach. The multi-agent approach uses four roles (Domain Expert, Manager, Coder, and Quality Assurer) with front-loaded planning.",high,Domain-specific insurance contracts,"A multi-agent architecture that decomposes ontology construction into four artifact-driven roles: Domain Expert, Manager, Coder, and Quality Assurer.","Poor Ontology Design Pattern compliance, structural redundancy, and ineffective iterative repair in single-agent LLM approaches",yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Knowledge Graph and Structured Knowledge RAG
R$^3$AG: Retriever Routing for Retrieval-Augmented Generation,R$^3$AG employs a contrastive learning objective that leverages complementary supervision signals (document assessments and downstream answer correctness) to capture query-specific preference shifts.,medium,unknown,"R$^3$AG, a novel routing framework that explicitly models the dynamic alignment between queries and retriever capabilities by decomposing retriever capability into two learnable dimensions: retrieval quality and gener...",unknown,unknown,Core Retrieval and Ranking Methods,核心检索与排序方法,核心检索与排序方法 (Core Retrieval and Ranking Methods),Core Retrieval and Ranking Methods
Structure Guided Retrieval-Augmented Generation for Factual Queries,"Structure Guided Retrieval-Augmented Generation (SG-RAG), which models the retrieval process as an embedding-based subgraph matching task, and uses the retrieved topological structures to guide the LLM to generate ans...",medium,"Exact Retrieval Question Answering (ERQA), a large-scale dataset comprising 120000 fact-oriented QA pairs, each involving complex conditions, spanning 20 diverse domains.",Introduce the Exact Retrieval Problem (ERP) which incorporates structural information into RAG for factual questions to satisfy all query conditions.,Not explicitly mentioned in the abstract.,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
